n,Lambda,Condition,Lambda_2,Covariate Condition
1406,0.005,23.043568121885425,0.005,98.85193523853971
1411,0.005,23.86116613359728,0.005,101.88346175534832
1416,0.005,23.30708364680193,0.005,100.4853636590947
1421,0.005,22.719322812280428,0.005,98.93352025588497
1426,0.005,23.028464913087337,0.005,98.75380644595126
1431,0.005,23.08261854265563,0.005,101.5954504442816
1436,0.005,23.290635931103743,0.005,100.39639796026569
1441,0.005,23.035302192112674,0.005,100.26600768149709
1446,0.005,23.74962511861965,0.005,101.40894617228187
1451,0.005,23.15526060716327,0.005,100.52913603676073
1456,0.005,23.040321652663746,0.005,100.30086504056388
1461,0.005,22.55657716476881,0.005,98.93691113904582
1466,0.005,23.256451654900424,0.005,100.29736115964249
1471,0.005,23.416637274344417,0.005,101.06192664758787
1476,0.005,22.7216791137427,0.005,101.05067235832139
1481,0.005,23.425748802785293,0.005,100.68255710128504
1486,0.005,23.010476209937078,0.005,101.03540307701901
1491,0.005,22.67162143092101,0.005,99.65228721557355
1496,0.005,23.08778591915279,0.005,99.9353247986095
1502,0.005,23.19250484019005,0.005,100.98667384766304
1507,0.005,23.314968591157967,0.005,98.3593170511695
1512,0.005,23.008300847224582,0.005,101.0329455993931
1517,0.005,23.03300574073479,0.005,100.02162192043455
1522,0.005,23.581875639390045,0.005,101.21980824127235
1527,0.005,23.673934061680647,0.005,100.99521706066521
1532,0.005,23.14179955721984,0.005,100.19238612064417
1537,0.005,23.124014733298072,0.005,100.41317914107154
1542,0.005,23.23508124093833,0.005,100.7748049349242
1547,0.005,23.88937883926026,0.005,102.31217555245887
1552,0.005,22.736120828419725,0.005,99.45066608468146
1557,0.005,22.6495357562293,0.005,100.57679150115166
1562,0.005,23.198973349697393,0.005,100.95310189080102
1567,0.005,23.21709345657158,0.005,101.90947116494196
1572,0.005,22.904230812137893,0.005,100.70931031357567
1577,0.005,23.462615874956416,0.005,102.84432413257672
1582,0.005,23.04690201753511,0.005,100.03593393418382
1587,0.005,22.73502764931188,0.005,100.69050654397216
1592,0.005,22.745104235228343,0.005,99.73455626003752
1597,0.005,23.53851115286838,0.005,100.62509014341695
1602,0.005,22.980110075799864,0.005,100.29744115986907
1607,0.005,23.15257950088975,0.005,100.42908923489418
1612,0.005,22.490938644409177,0.005,98.98956466281761
1617,0.005,22.68947087043013,0.005,100.61173907977343
1622,0.005,22.604564208747306,0.005,99.91091031524765
1627,0.005,23.228963125168093,0.005,100.06397240306204
1632,0.005,22.99353234921597,0.005,99.89290327346058
1637,0.005,23.453180853580587,0.005,100.561511307816
1642,0.005,22.646262453274115,0.005,99.68709257782263
1647,0.005,22.971176132904382,0.005,99.95072292797175
1652,0.005,22.938326051316892,0.005,99.82250462040429
1657,0.005,23.021232408103646,0.005,99.81295253732823
